,time_period,epu,epu_scaled
107,1997-09-01,0.0014903129657228018,34.11087657356836
108,1997-10-01,0.00463821892393321,106.16140158100356
109,1997-11-01,0.004297994269340974,98.37420421574944
110,1997-12-01,0.0029940119760479044,68.52813826606099
111,1998-01-01,0.009327115256495669,213.48272786948775
112,1998-02-01,0.00361794500723589,82.80896592208526
113,1998-03-01,0.0026367831245880024,60.351742072153904
114,1998-04-01,0.009878419452887538,226.1011978352863
115,1998-05-01,0.004739336492890996,108.4758207623904
116,1998-06-01,0.00586940572267058,134.34129526552823
117,1998-07-01,0.003949967083607637,90.40841941091917
118,1998-08-01,0.007686395080707148,175.92927118266232
119,1998-09-01,0.01059135039717564,242.41904516361203
120,1998-10-01,0.004647560030983733,106.37520455862604
121,1998-11-01,0.0016722408026755853,38.27491334592704
